time_series,SurfacePressure,WindSpeed50M,WindDirection50M,Rain,Specific Humidity at 2m,Tempreture2M,ALLSKY_SFC_SW_DIFF,ALLSKY_SRF_ALBEDO,ALLSKY_SFC_UVB,ALLSKY_SFC_PAR_TOT,Sea Level
2001-01-01 23:00:00,98.7,1.52,117.88,0.0,16.6,24.81,100.14,0.08,0.01,189.95,1534
2001-01-02 23:00:00,98.64,4.2,120.29,0.0,18.13,24.85,306.37,0.05,1.55,331.79,1446
2001-01-03 23:00:00,98.67,6.68,77.36,0.31,17.21,24.82,242.55,0.07,0.23,299.65,1306
2001-01-04 23:00:00,98.79,7.6,77.05,0.11,19.41,25.85,356.9,0.04,1.64,248.17,1152
2001-01-05 23:00:00,98.63,5.55,64.73,0.02,18.01,25.01,275.76,0.07,1.93,375.38,942
2001-01-06 23:00:00,98.48,3.14,340.21,0.17,19.1,25.51,136.73,0.05,1.08,222.28,749
2001-01-07 23:00:00,98.41,2.43,315.13,0.11,18.8,25.92,42.43,0.09,0.77,83.32,597
2001-01-08 23:00:00,98.53,0.92,342.65,0.04,18.07,26.38,1.79,0.07,0.59,392.95,595
2001-01-09 23:00:00,98.67,2.24,106.41,0.18,18.74,25.91,157.59,0.07,0.57,116.42,755
2001-01-10 23:00:00,98.63,4.02,243.58,0.05,19.59,25.74,471.96,0.07,1.35,250.8,1046
2001-01-11 23:00:00,98.63,4.08,135.93,0.06,19.04,25.48,144.54,0.05,1.67,492.02,1382
2001-01-12 23:00:00,98.65,4.12,117.78,0.01,18.86,25.58,248.13,0.08,2.25,492.02,1665
2001-01-13 23:00:00,98.66,5.02,78.52,0.51,19.1,25.13,82.39,0.06,0.61,142.94,1837
2001-01-14 23:00:00,98.5,6.81,91.64,1.44,18.62,24.64,296.05,0.05,1.1,468.23,1884
2001-01-15 23:00:00,98.28,6.96,354.26,2.0,18.8,24.87,240.89,0.05,1.16,97.74,1787
2001-01-16 23:00:00,98.4,7.5,318.29,1.23,18.01,24.34,27.63,0.03,0.36,210.65,1584
2001-01-17 23:00:00,98.31,4.7,255.06,0.04,17.15,23.9,251.98,0.06,1.1,228.53,1384
2001-01-18 23:00:00,98.5,1.89,316.67,0.0,16.48,24.9,488.81,0.04,1.91,217.77,1111
2001-01-19 23:00:00,98.76,3.39,92.24,0.13,17.82,25.1,202.24,0.07,1.41,251.14,857
2001-01-20 23:00:00,98.79,4.67,98.28,0.09,18.37,25.23,244.55,0.08,0.01,366.08,735
2001-01-21 23:00:00,98.69,4.17,95.05,0.02,18.01,24.86,236.2,0.1,1.84,217.35,703
2001-01-22 23:00:00,98.57,5.7,98.2,0.79,18.19,24.4,413.93,0.05,0.01,179.46,752
2001-01-23 23:00:00,98.63,4.55,36.28,0.22,17.58,24.15,48.15,0.05,0.7,156.39,847
2001-01-24 23:00:00,98.77,3.94,348.22,0.04,17.52,24.25,1.79,0.06,1.43,129.45,973
2001-01-25 23:00:00,98.7,1.19,96.42,0.04,17.09,25.38,1.79,0.03,1.4,247.14,1145
2001-01-26 23:00:00,98.7,0.86,251.4,0.18,17.33,24.79,1.79,0.05,1.44,153.0,1322
2001-01-27 23:00:00,98.62,3.17,293.98,0.46,17.27,24.83,125.48,0.1,0.71,25.4,1473
2001-01-28 23:00:00,98.6,2.46,283.2,0.01,18.62,25.34,371.16,0.05,1.85,485.34,1588
2001-01-29 23:00:00,98.58,2.23,337.75,0.52,18.25,25.25,121.46,0.03,1.65,360.67,1661
2001-01-30 23:00:00,98.54,3.5,349.44,0.04,18.49,25.39,532.82,0.06,0.79,0.02,1669
2001-01-31 23:00:00,98.57,2.73,75.57,0.09,17.82,25.78,312.51,0.03,1.53,489.52,1614
